bill_id,people_id,position
1133516,8743,97
1133516,8744,115
1133516,8747,38
1133516,8757,50
1133516,8780,7
1133516,8785,13
1133516,8786,14
1133516,8793,22
1133516,8800,29
1133516,8813,41
1133516,8815,44
1133516,8836,81
1133516,8869,128
1133516,8877,141
1133516,8879,143
1133516,8893,154
1133516,8896,159
1133516,10321,15
1133516,10326,31
1133516,10331,51
1133516,10333,57
1133516,10341,78
1133516,10343,89
1133516,10346,102
1133516,10351,111
1133516,10363,137
1133516,10372,176
1133516,14714,43
1133516,14716,61
1133516,14717,71
1133516,14718,72
1133516,14720,90
1133516,14722,105
1133516,14726,131
1133516,14729,147
1133516,14732,164
1133516,14742,74
1133516,14747,129
1133516,15044,109
1133516,15045,135
1133516,15047,160
1133516,15270,30
1133516,15275,110
1133516,15278,125
1133516,15391,93
1133516,15392,100
1133516,15402,35
1133516,15403,60
1133516,15406,150
1133516,15702,156
1133516,15703,180
1133516,15729,119
1133516,15744,45
1133516,15747,114
1133516,15748,177
1133516,15773,70
1133516,15775,24
1133516,15889,49
1133516,16089,181
1133516,16631,3
1133516,16634,55
1133516,16635,66
1133516,16639,130
1133516,16688,8
1133516,16689,42
1133516,16697,116
1133516,16780,62
1133516,16781,67
1133516,16784,165
1133516,16785,175
1133516,16786,179
1133516,16787,186
1133516,16852,19
1133516,16853,83
1133516,16877,104
1133516,17106,59
1133516,17107,173
1133516,17108,178
1133516,17215,84
1133516,17216,145
1133516,17217,163
1133516,17270,52
1133516,17272,112
1133516,17273,126
1133516,17275,183
1133516,17330,21
1133516,17332,36
1133516,17335,87
1133516,17336,148
1133516,17337,166
1133516,17340,182
1133516,17341,185
1133516,17441,91
1133516,17452,123
1133516,17533,17
1133516,17564,95
1133516,17585,144
1133516,17667,11
1133516,17788,86
1133516,17789,139
1133516,17934,47
1133516,18172,2
1133516,18173,6
1133516,18174,10
1133516,18175,12
1133516,18176,18
1133516,18177,25
1133516,18178,27
1133516,18179,28
1133516,18181,34
1133516,18183,46
1133516,18184,64
1133516,18186,149
1133516,18187,76
1133516,18188,79
1133516,18189,82
1133516,18190,99
1133516,18191,101
1133516,18192,108
1133516,18193,113
1133516,18196,122
1133516,18197,138
1133516,18199,142
1133516,18200,151
1133516,18201,157
1133516,18202,158
1133516,18203,162
1133516,18206,167
1133516,18207,169
1133516,18209,171
1133516,18210,172
1133516,18211,174
1133516,18212,187
1133516,21166,32
1133516,21167,132
1133516,21188,4
1133516,21189,5
1133516,21190,9
1133516,21191,16
1133516,21192,20
1133516,21193,23
1133516,21194,26
1133516,21195,33
1133516,21196,37
1133516,21197,39
1133516,21198,40
1133516,21199,1
1133516,21200,48
1133516,21201,53
1133516,21202,54
1133516,21203,56
1133516,21204,58
1133516,21205,63
1133516,21206,65
1133516,21207,68
1133516,21208,69
1133516,21209,73
1133516,21210,75
1133516,21211,77
1133516,21212,80
1133516,21213,85
1133516,21214,88
1133516,21215,92
1133516,21216,94
1133516,21217,96
1133516,21218,98
1133516,21219,103
1133516,21220,106
1133516,21221,107
1133516,21222,117
1133516,21223,120
1133516,21224,121
1133516,21225,124
1133516,21226,127
1133516,21227,133
1133516,21228,134
1133516,21229,140
1133516,21230,146
1133516,21231,152
1133516,21232,153
1133516,21233,155
1133516,21234,161
1133516,21235,168
1133516,21236,170
1133516,21237,184
1133516,21273,118
1133516,21274,136
1136223,8743,1
1136223,14718,2
1136281,8813,3
1136281,10321,2
1136281,10372,8
1136281,14729,5
1136281,14742,4
1136281,16781,1
1136281,18201,6
1136281,18202,7
1136286,16089,8
1136286,16634,5
1136286,17107,1
1136286,17330,3
1136286,18175,2
1136286,18181,4
1136286,18202,7
1136286,21207,6
1136311,8800,1
1136319,8744,7
1136319,8747,1
1136319,8793,2
1136319,14716,4
1136319,15045,8
1136319,18189,5
1136319,18193,6
1136319,21195,3
1136326,15889,1
1136334,8793,5
1136334,14716,7
1136334,16631,2
1136334,17667,4
1136334,18186,1
1136334,21190,3
1136334,21199,6
1136334,21207,8
1136334,21235,9
1136341,14729,8
1136341,14747,7
1136341,15391,6
1136341,15403,4
1136341,15889,1
1136341,16631,2
1136341,16784,9
1136341,17441,5
1136341,17533,3
1136350,15889,3
1136350,16089,7
1136350,16631,1
1136350,16786,6
1136350,18178,2
1136350,18192,4
1136350,21167,5
1136358,8785,2
1136358,15392,8
1136358,15889,4
1136358,16089,10
1136358,16635,7
1136358,17106,6
1136358,17216,9
1136358,17533,3
1136358,21192,1
1136358,21203,5
1136365,8879,6
1136365,16631,2
1136365,16786,1
1136365,16853,3
1136365,18186,7
1136365,21167,5
1136365,21218,4
1136372,8786,2
1136372,8879,5
1136372,14732,7
1136372,15044,3
1136372,15703,10
1136372,15748,9
1136372,17107,1
1136372,17452,4
1136372,18186,6
1136372,18211,8
1136380,8793,5
1136380,14716,7
1136380,17452,9
1136380,17667,4
1136380,18174,3
1136380,18186,1
1136380,21190,2
1136380,21194,6
1136380,21207,8
1136386,8879,10
1136386,10343,6
1136386,14716,3
1136386,17452,9
1136386,18175,2
1136386,18189,1
1136386,18193,7
1136386,18196,8
1136386,21209,4
1136386,21214,5
1136394,15889,1
1136404,18174,1
1136404,21199,2
1136411,8800,1
1136418,18174,1
1136418,18175,2
1136418,18177,3
1136418,18192,4
1136433,8893,8
1136433,14722,4
1136433,14747,6
1136433,16852,3
1136433,17216,7
1136433,17452,1
1136433,18173,2
1136433,18196,5
1136433,18210,9
1136433,18211,10
1136448,8893,9
1136448,10331,3
1136448,14729,8
1136448,16689,2
1136448,16780,5
1136448,16853,1
1136448,17585,7
1136448,21204,4
1136448,21218,6
1136454,8879,7
1136454,17107,9
1136454,17332,4
1136454,17452,6
1136454,18174,2
1136454,18178,3
1136454,18184,5
1136454,18186,1
1136454,18210,8
1136454,18211,10
1137103,15775,2
1137103,16786,1
1137103,16853,4
1137103,16877,5
1137103,17217,7
1137103,17934,3
1137103,21167,6
1137108,16634,6
1137108,17564,7
1137108,18173,2
1137108,18175,3
1137108,18181,4
1137108,18183,5
1137108,18193,1
1137108,21226,8
1137109,8800,1
1137120,8785,2
1137120,10321,3
1137120,14720,6
1137120,17106,4
1137120,18197,9
1137120,21212,5
1137120,21217,7
1137120,21224,8
1137120,21230,1
1137121,8786,2
1137121,10363,1
1137121,10372,8
1137121,17215,4
1137121,17337,6
1137121,17340,9
1137121,18187,3
1137121,18201,5
1137121,18206,7
1137126,15045,3
1137126,16689,2
1137126,18193,1
1137126,18199,4
1137126,21237,5
1137129,10343,7
1137129,17273,8
1137129,17330,2
1137129,18178,3
1137129,18179,4
1137129,18184,5
1137129,18189,1
1137129,18203,9
1137129,18212,10
1137129,21207,6
1137133,8815,3
1137133,10321,2
1137133,10363,1
1137133,16781,5
1137133,17337,8
1137133,17340,10
1137133,18188,6
1137133,18201,7
1137133,18207,9
1137133,21204,4
1137141,16631,2
1137141,16639,8
1137141,16786,10
1137141,17452,1
1137141,17533,4
1137141,17667,3
1137141,18186,9
1137141,21205,5
1137141,21214,6
1137141,21225,7
1137145,8896,3
1137145,17107,5
1137145,17452,2
1137145,18210,4
1137145,18211,1
1137147,8800,1
1137153,8815,3
1137153,15045,7
1137153,15406,8
1137153,16689,2
1137153,16785,1
1137153,17215,4
1137153,17217,9
1137153,17272,5
1137153,21273,6
1137154,15045,6
1137154,15775,2
1137154,16784,8
1137154,16786,1
1137154,16853,3
1137154,16877,4
1137154,17217,7
1137154,21167,5
1137163,8879,1
1137163,14716,3
1137163,17452,5
1137163,17564,4
1137163,18202,6
1137163,21192,2
1137166,8815,3
1137166,15045,7
1137166,15406,8
1137166,16689,2
1137166,16785,1
1137166,17215,4
1137166,17217,9
1137166,17272,5
1137166,21273,6
1137171,16786,1
1137171,21167,2
1137173,14716,5
1137173,14722,8
1137173,14742,6
1137173,16689,4
1137173,16784,9
1137173,17452,1
1137173,17564,7
1137173,17667,2
1137173,21192,3
1137173,21235,10
1137174,8785,1
1137174,15403,6
1137174,15744,4
1137174,16787,10
1137174,17441,7
1137174,17934,5
1137174,18181,3
1137174,21193,2
1137174,21230,9
1137174,21274,8
1137677,8785,2
1137677,10326,4
1137677,14716,6
1137677,14717,7
1137677,14726,10
1137677,15270,3
1137677,17564,9
1137677,21192,1
1137677,21197,5
1137677,21209,8
1137687,8747,4
1137687,8785,2
1137687,8879,10
1137687,10326,3
1137687,14717,6
1137687,14726,9
1137687,15392,8
1137687,15744,5
1137687,21192,1
1137687,21209,7
1137698,8780,2
1137698,10343,6
1137698,14714,3
1137698,15729,1
1137698,17788,5
1137698,18183,4
1137709,8743,5
1137709,8896,9
1137709,14742,1
1137709,15702,7
1137709,16089,10
1137709,16781,3
1137709,17452,6
1137709,17564,4
1137709,18202,8
1137709,21166,2
1137719,8744,8
1137719,8785,2
1137719,8879,10
1137719,10326,4
1137719,14726,9
1137719,15392,7
1137719,15744,5
1137719,15775,3
1137719,21192,1
1137719,21209,6
1137730,8757,3
1137730,8786,2
1137730,10363,6
1137730,14717,4
1137730,15748,8
1137730,17275,10
1137730,17336,7
1137730,17340,9
1137730,17789,1
1137730,18187,5
1137740,18202,1
1137750,8879,8
1137750,14742,3
1137750,17452,7
1137750,17564,1
1137750,18174,2
1137750,18190,5
1137750,18193,6
1137750,21217,4
1140551,10326,2
1140551,15270,1
1140551,16639,4
1140551,18181,3
1140647,14742,5
1140647,15044,7
1140647,15392,6
1140647,18177,2
1140647,18202,1
1140647,21166,3
1140647,21197,4
1140665,8743,6
1140665,8786,2
1140665,15775,3
1140665,16784,1
1140665,16786,7
