bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1136304,2009272,text,69179,application/pdf,Chaptered,https://legiscan.com/ME/text/LD24/id/2009272,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0025&item=3&snum=129
1136441,1834130,text,178557,application/pdf,Introduced,https://legiscan.com/ME/text/LD25/id/1834130,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0026&item=1&snum=129
1136441,1950707,text,80018,application/pdf,Amended,https://legiscan.com/ME/text/LD25/id/1950707,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0026&item=2&snum=129
1136441,1978443,text,86707,application/pdf,Chaptered,https://legiscan.com/ME/text/LD25/id/1978443,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0026&item=3&snum=129
1137153,1835066,text,157431,application/pdf,Introduced,https://legiscan.com/ME/text/LD26/id/1835066,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0027&item=1&snum=129
1137166,1835076,text,162443,application/pdf,Introduced,https://legiscan.com/ME/text/LD27/id/1835076,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0028&item=1&snum=129
1137166,2005753,text,87454,application/pdf,Amended,https://legiscan.com/ME/text/LD27/id/2005753,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0028&item=2&snum=129
1137166,2018067,text,78648,application/pdf,Chaptered,https://legiscan.com/ME/text/LD27/id/2018067,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0028&item=3&snum=129
1137141,1835058,text,159340,application/pdf,Introduced,https://legiscan.com/ME/text/LD28/id/1835058,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0029&item=1&snum=129
1137141,2153958,text,78452,application/pdf,Amended,https://legiscan.com/ME/text/LD28/id/2153958,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0029&item=2&snum=129
1137141,2174556,text,66532,application/pdf,Chaptered,https://legiscan.com/ME/text/LD28/id/2174556,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0029&item=3&snum=129
1137173,1835080,text,165941,application/pdf,Introduced,https://legiscan.com/ME/text/LD29/id/1835080,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0030&item=1&snum=129
1137163,1835074,text,151626,application/pdf,Introduced,https://legiscan.com/ME/text/LD30/id/1835074,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0031&item=1&snum=129
1137174,1835081,text,156927,application/pdf,Introduced,https://legiscan.com/ME/text/LD31/id/1835081,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0032&item=1&snum=129
1137174,1956203,text,68158,application/pdf,Chaptered,https://legiscan.com/ME/text/LD31/id/1956203,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0032&item=3&snum=129
1137171,1835078,text,156301,application/pdf,Introduced,https://legiscan.com/ME/text/LD32/id/1835078,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0033&item=1&snum=129
1137171,1954264,text,66036,application/pdf,Chaptered,https://legiscan.com/ME/text/LD32/id/1954264,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0033&item=2&snum=129
1137154,1835067,text,158192,application/pdf,Introduced,https://legiscan.com/ME/text/LD33/id/1835067,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0034&item=1&snum=129
1137154,1994210,text,74460,application/pdf,Amended,https://legiscan.com/ME/text/LD33/id/1994210,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0034&item=2&snum=129
1137154,2009713,text,66014,application/pdf,Chaptered,https://legiscan.com/ME/text/LD33/id/2009713,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0034&item=3&snum=129
1137103,1835031,text,166257,application/pdf,Introduced,https://legiscan.com/ME/text/LD34/id/1835031,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0035&item=1&snum=129
1137103,1994792,text,79135,application/pdf,Amended,https://legiscan.com/ME/text/LD34/id/1994792,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0035&item=2&snum=129
1137103,2006511,text,72386,application/pdf,Chaptered,https://legiscan.com/ME/text/LD34/id/2006511,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0035&item=3&snum=129
1137133,1835051,text,164564,application/pdf,Introduced,https://legiscan.com/ME/text/LD35/id/1835051,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0036&item=1&snum=129
1137120,1835042,text,162446,application/pdf,Introduced,https://legiscan.com/ME/text/LD36/id/1835042,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0037&item=1&snum=129
1137120,2025800,text,76787,application/pdf,Amended,https://legiscan.com/ME/text/LD36/id/2025800,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0037&item=2&snum=129
1137120,2034534,text,73005,application/pdf,Chaptered,https://legiscan.com/ME/text/LD36/id/2034534,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0037&item=3&snum=129
1137145,1835060,text,153673,application/pdf,Introduced,https://legiscan.com/ME/text/LD37/id/1835060,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0038&item=1&snum=129
1137145,2034972,text,82270,application/pdf,Amended,https://legiscan.com/ME/text/LD37/id/2034972,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0038&item=2&snum=129
1137145,2042716,text,75311,application/pdf,Chaptered,https://legiscan.com/ME/text/LD37/id/2042716,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0038&item=3&snum=129
1137129,1835049,text,167170,application/pdf,Introduced,https://legiscan.com/ME/text/LD38/id/1835049,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0039&item=1&snum=129
1137129,2018109,text,78711,application/pdf,Amended,https://legiscan.com/ME/text/LD38/id/2018109,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0039&item=2&snum=129
1137129,2042225,text,82623,application/pdf,Chaptered,https://legiscan.com/ME/text/LD38/id/2042225,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0039&item=3&snum=129
1137126,1835046,text,151514,application/pdf,Introduced,https://legiscan.com/ME/text/LD39/id/1835046,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0040&item=1&snum=129
1137126,1962333,text,63508,application/pdf,Chaptered,https://legiscan.com/ME/text/LD39/id/1962333,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0040&item=2&snum=129
1137108,1835034,text,162875,application/pdf,Introduced,https://legiscan.com/ME/text/LD40/id/1835034,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0041&item=1&snum=129
1137108,2026256,text,61999,application/pdf,Amended,https://legiscan.com/ME/text/LD40/id/2026256,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0041&item=2&snum=129
1137108,2043372,text,71381,application/pdf,Chaptered,https://legiscan.com/ME/text/LD40/id/2043372,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0041&item=3&snum=129
1137121,1835043,text,179656,application/pdf,Introduced,https://legiscan.com/ME/text/LD41/id/1835043,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0042&item=1&snum=129
1137109,1835035,text,164366,application/pdf,Introduced,https://legiscan.com/ME/text/LD42/id/1835035,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0043&item=1&snum=129
1137147,1835062,text,161834,application/pdf,Introduced,https://legiscan.com/ME/text/LD43/id/1835062,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0044&item=1&snum=129
1137575,1835189,text,184745,application/pdf,Introduced,https://legiscan.com/ME/text/LD44/id/1835189,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0045&item=1&snum=129
1137575,2002085,text,73796,application/pdf,Amended,https://legiscan.com/ME/text/LD44/id/2002085,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0045&item=2&snum=129
1137750,1835353,text,172596,application/pdf,Introduced,https://legiscan.com/ME/text/LD45/id/1835353,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0046&item=1&snum=129
1137677,1835285,text,159403,application/pdf,Introduced,https://legiscan.com/ME/text/LD46/id/1835285,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0047&item=1&snum=129
1137677,2028224,text,78314,application/pdf,Amended,https://legiscan.com/ME/text/LD46/id/2028224,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0047&item=2&snum=129
1137719,1835324,text,169440,application/pdf,Introduced,https://legiscan.com/ME/text/LD47/id/1835324,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0048&item=1&snum=129
1137687,1835294,text,171912,application/pdf,Introduced,https://legiscan.com/ME/text/LD48/id/1835294,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0049&item=1&snum=129
