bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1136223,811055,2019-02-28,Senate,"Accept Otp-a Rpt RC #19",31,0,0,4,35
1136223,815530,2019-03-07,House,"Acc Maj Otp As Amended Rep RC #5",140,3,0,6,149
1136311,808455,2019-02-26,House,"Acc Maj Ought Not To Pass Rep RC #4",100,40,0,9,149
1136326,950406,2020-03-12,House,"Acc Maj Otp As Amended Rep RC #368",85,54,0,11,150
1136404,849444,2019-04-23,Senate,"Accept Maj Otp-a Rpt RC #52",20,12,0,3,35
1137120,868071,2019-05-21,House,"Acc Maj Otp As Amended Rep RC #107",85,54,0,11,150
1137120,870305,2019-05-23,Senate,"Accept Maj Otp-a Rpt RC #114",19,14,0,2,35
1137121,849807,2019-04-23,House,"Acc Maj Ought Not To Pass Rep RC #55",84,47,0,19,150
1137141,934700,2020-02-25,House,"Acc Maj Otp As Amended Rep RC #348",95,44,0,10,149
1137145,879126,2019-06-06,House,"Acc Maj Otp As Amended Rep RC #199",85,54,0,11,150
1137145,879290,2019-06-07,Senate,"Accept Maj Otp-a Rpt RC #222",19,13,0,3,35
1137174,795825,2019-02-07,House,"Acc Ought To Pass Rep RC #2",85,48,0,16,149
1140551,873544,2019-05-28,Senate,"Adopt Sas-150 To Cas-132 RC #144",21,13,0,1,35
1140551,874115,2019-05-29,House,"Indef Postpone Bill & Papers RC #144",54,87,0,9,150
1140551,874116,2019-05-29,House,"Commit To Vla RC #145",59,83,0,8,150
1140551,874117,2019-05-29,House,"Acc Maj Otp As Amended Rep RC #146",84,58,0,8,150
1140551,874118,2019-05-29,House,"Adopt Sas-150 To Cas-132 RC #147",22,120,0,8,150
1140551,878181,2019-06-05,Senate,"Recede RC #201",21,14,0,0,35
1140551,878182,2019-06-05,Senate,"Adopt Sbs-196 To Cas-132 RC #202",20,14,0,1,35
1140551,878658,2019-06-06,House,"Recede And Concur RC #185",70,71,0,9,150
1140551,878659,2019-06-06,House,"Insist RC #186",131,9,0,10,150
1140551,879580,2019-06-10,House,"Enactment RC #215",88,53,0,9,150
1143768,816033,2019-03-07,House,"Acc Maj Ought Not To Pass Rep RC #6",92,50,0,7,149
1143768,819688,2019-03-12,Senate,"Accept Maj Ontp Rpt RC #21",20,13,0,2,35
1143975,877070,2019-06-03,House,"Acc Maj Ought Not To Pass Rep RC #169",119,20,0,11,150
1145867,808533,2019-02-26,House,"Acc Maj Ought To Pass Rep RC #3",93,48,0,8,149
1145867,826385,2019-03-21,Senate,"Enactment RC #29",32,0,0,3,35
1145944,824453,2019-03-19,House,"Acc Maj Otp As Amended Rep RC #14",138,0,0,12,150
1145944,826406,2019-03-21,Senate,"Accept Maj Otp-a Rpt RC #27",15,13,0,7,35
1145944,833481,2019-04-02,Senate,"Enactment RC #35",20,14,0,1,35
