bill_id,people_id,position
191283,8737,0
191283,8738,0
191283,8739,0
191283,8740,0
191283,8741,0
191284,8742,0
191285,8743,0
191285,8744,0
191285,8745,0
191285,8746,0
191287,8737,0
191287,8738,0
191287,8739,0
191287,8740,0
191287,8741,0
191287,8742,0
191287,8743,0
191287,8744,0
191287,8745,0
191287,8746,0
191287,8747,0
191287,8748,0
191287,8749,0
191287,8750,0
191287,8751,0
191287,8752,0
191287,8753,0
191287,8754,0
191287,8755,0
191287,8756,0
191287,8757,0
191287,8758,0
191287,8759,0
191287,8760,0
191287,8761,0
191287,8762,0
191287,8763,0
191287,8764,0
191287,8766,0
191287,8767,0
191287,8768,0
191287,8769,0
191287,8770,0
191287,8771,0
191287,8772,0
191287,8773,0
191287,8774,0
191287,8775,0
191287,8776,0
191287,8777,0
191287,8778,0
191287,8779,0
191287,8780,0
191287,8781,0
191287,8782,0
191287,8783,0
191287,8784,0
191287,8785,0
191287,8786,0
191287,8787,0
191287,8788,0
191287,8789,0
191287,8790,0
191287,8791,0
191287,8792,0
191287,8793,0
191287,8794,0
191287,8795,0
191287,8796,0
191287,8797,0
191287,8798,0
191287,8799,0
191287,8800,0
191287,8801,0
191287,8802,0
191287,8803,0
191287,8804,0
191287,8805,0
191287,8806,0
191287,8807,0
191287,8808,0
191287,8809,0
191287,8810,0
191287,8811,0
191287,8812,0
191287,8813,0
191287,8814,0
191287,8815,0
191287,8816,0
191287,8817,0
191287,8818,0
191287,8819,0
191287,8820,0
191287,8821,0
191287,8822,0
191287,8823,0
191287,8824,0
191287,8825,0
191287,8826,0
191287,8827,0
191287,8828,0
191287,8829,0
191287,8830,0
191287,8831,0
191287,8832,0
191287,8833,0
191287,8834,0
191287,8835,0
191287,8836,0
191287,8837,0
191287,8838,0
191287,8839,0
191287,8840,0
191287,8841,0
191287,8842,0
191287,8843,0
191287,8844,0
191287,8845,0
191287,8846,0
191287,8847,0
191287,8848,0
191287,8849,0
191287,8850,0
191287,8851,0
191287,8852,0
191287,8853,0
191287,8854,0
191287,8855,0
191287,8856,0
191287,8857,0
191287,8858,0
191287,8859,0
191287,8860,0
191287,8861,0
191287,8862,0
191287,8863,0
191287,8864,0
191287,8865,0
191287,8866,0
191287,8867,0
191287,8868,0
191287,8869,0
191287,8870,0
191287,8871,0
191287,8872,0
191287,8873,0
191287,8874,0
191287,8875,0
191287,8876,0
191287,8877,0
191287,8878,0
191287,8879,0
191287,8880,0
191287,8881,0
191287,8883,0
191287,8884,0
