bill_id,people_id,position
451271,8809,2
451271,8841,1
451296,8809,2
451296,8841,1
451368,8747,3
451368,8783,6
451368,8832,7
451368,8839,9
451368,8853,1
451368,8855,10
451368,8898,2
451368,10340,8
451368,11885,4
451368,11886,5
451392,8791,4
451392,8900,1
451392,10331,5
451392,10335,6
451392,10341,7
451392,10372,8
451392,11886,2
451392,14740,3
451422,8759,2
451422,8838,4
451422,8860,7
451422,8895,9
451422,14714,3
451422,14722,5
451422,14723,6
451422,14724,1
451422,14728,8
451446,8743,4
451446,8797,1
451446,8798,6
451446,8840,3
451446,8847,7
451446,8863,5
451446,14726,8
451446,14730,9
451446,14732,10
451446,14747,2
451470,8832,3
451470,8838,5
451470,8850,6
451470,8871,1
451470,8877,7
451470,8895,8
451470,14719,4
451470,14747,2
451495,8746,9
451495,8782,2
451495,8785,3
451495,8789,4
451495,8838,6
451495,8877,1
451495,8900,8
451495,10339,5
451495,13884,7
451518,8746,10
451518,8832,1
451518,8839,4
451518,8853,5
451518,8855,6
451518,8864,7
451518,10321,3
451518,11886,2
451518,14731,8
451518,14732,9
451543,8799,1
451543,10320,3
451543,10366,4
451543,14740,2
451566,8842,3
451566,10318,1
451566,10334,4
451566,11874,2
451566,14728,5
451590,8815,1
451590,8847,4
451590,8910,2
451590,10338,3
451619,8799,4
451619,8874,5
451619,8877,7
451619,10366,6
451619,10371,8
451619,10373,1
451619,11874,2
451619,14737,3
451643,8839,1
451667,8746,9
451667,8810,4
451667,10321,3
451667,10331,5
451667,10377,10
451667,14720,6
451667,14721,7
451667,14727,8
451667,14730,1
451667,14737,2
451691,8747,3
451691,8802,1
451691,8836,2
451691,10353,4
451691,10370,5
451691,10371,6
451716,8839,1
451741,8782,4
451741,8799,1
451741,10369,6
451741,11890,3
451741,14729,5
451741,14736,7
451741,14740,2
451765,8743,2
451765,8773,3
451765,8810,5
451765,10321,4
451765,10349,6
451765,10377,1
451765,14725,7
451765,14730,8
451765,14733,9
452249,8747,1
452249,8798,4
452249,8834,5
452249,8914,3
452249,14745,2
452273,8747,1
452273,8797,6
452273,8834,8
452273,8896,9
452273,8914,5
452273,14716,7
452273,14717,2
452273,14744,3
452273,14745,4
452300,8836,1
452300,8841,2
452324,8836,1
452324,14734,2
452348,8840,1
452348,8898,3
452348,14716,2
452376,8840,1
452376,8898,3
452376,8906,2
452376,14716,4
452400,8747,4
452400,8758,1
452400,8840,6
452400,8842,7
452400,8863,8
452400,8888,10
452400,10332,2
452400,11874,3
452400,14718,9
452400,14740,5
452424,8747,4
452424,8796,3
452424,8829,1
452424,8896,2
452424,10353,5
452424,10370,6
452424,10371,7
452451,8747,4
452451,8796,3
452451,8829,1
452451,8896,2
452451,10353,5
452451,10370,6
452451,10371,7
452475,8743,3
452475,8746,10
452475,8783,5
452475,8791,2
452475,8797,6
452475,8798,7
452475,8832,8
452475,8914,4
452475,10343,9
452475,11886,1
452496,8797,6
452496,8896,2
452496,10373,7
452496,11886,5
452496,14739,3
452496,14742,4
452496,14744,1
455713,8842,2
455713,8856,3
455713,8873,5
455713,10318,1
455713,10334,4
455744,8802,3
455744,8804,4
455744,8839,1
455744,10320,2
455744,10338,5
455744,10366,6
455744,10370,7
455744,10377,8
455773,14739,2
455773,15044,1
455773,15048,3
455805,8784,1
455805,8895,6
455805,11886,2
455805,14745,3
455805,15044,4
455805,15046,5
455836,8847,1
455865,8810,2
455865,8831,3
455865,8838,4
455865,8873,8
455865,10334,1
455865,10346,5
455865,10353,6
455865,10356,7
455865,12720,9
455895,8847,1
455924,8834,4
455924,11874,3
455924,12720,6
455924,14732,1
455924,14742,2
455924,15047,5
455953,8814,2
455953,8815,3
455953,10344,4
455953,10349,5
455953,13876,1
455985,8841,1
456013,8784,1
456013,8832,3
456013,10350,4
456013,14745,2
456045,8743,2
456045,8746,8
456045,8785,4
456045,8870,5
456045,8903,7
456045,10377,1
456045,14730,6
456045,15041,3
456075,8784,1
456075,8864,5
456075,8874,7
456075,11976,3
456075,14723,4
456075,14745,2
456075,15045,6
456106,8815,1
456138,8815,1
456167,8810,2
456167,8831,3
456167,8838,4
456167,8873,8
456167,10334,1
456167,10346,5
456167,10353,6
456167,10356,7
456167,12720,9
456197,8802,1
456197,8814,2
456197,8829,3
456197,8839,5
456197,10320,4
456197,10366,6
456197,10370,7
456197,10371,8
456226,8847,1
457813,8748,1
457890,8743,3
457890,8790,8
457890,8809,2
457890,8831,9
457890,8885,4
457890,8898,5
457890,8910,6
457890,8914,7
457890,11874,1
457890,14732,10
457968,8773,4
457968,8811,5
457968,8815,2
457968,8831,6
457968,8836,3
457968,8910,1
457968,14732,7
458040,8743,3
458040,8847,4
458040,8856,1
458040,8910,2
461388,8758,3
461388,8842,1
461388,8885,4
461388,10332,5
461388,14740,2
461453,8743,5
461453,8748,2
461453,8758,4
461453,8810,6
461453,8839,7
461453,8898,1
461453,10372,8
461453,10381,9
461453,11874,3
461520,8743,5
461520,8748,3
461520,8759,4
461520,8791,8
461520,8798,9
461520,8880,2
461520,10343,10
461520,11886,1
461520,14744,6
461520,14745,7
461589,8831,6
461589,8847,2
461589,8898,3
461589,8910,1
461589,10321,4
461589,10340,7
461589,15271,5
461589,15274,8
461655,8842,1
461655,15277,2
461728,8745,3
461728,8789,4
461728,8798,5
461728,8809,1
461728,8839,7
461728,8841,8
461728,8896,10
461728,10332,6
461728,10346,9
461728,11890,2
461749,8811,4
461749,8815,5
461749,8831,1
461749,8926,3
461749,10334,6
461749,10349,7
461749,10372,8
461749,10381,10
461749,11874,2
461749,12720,9
461771,8782,1
461793,8782,1
461793,8791,2
461816,8864,2
461816,10332,1
461838,8815,3
461838,8874,7
461838,10356,5
461838,10370,10
461838,11890,2
461838,14728,8
461838,14729,9
461838,14736,1
461838,15272,4
461838,15278,6
461863,8796,2
461863,8831,3
461863,12720,1
461886,8782,1
461886,8799,2
461886,8877,4
461886,8903,5
461886,15273,3
461908,8743,3
461908,8745,4
461908,8782,6
461908,8785,7
461908,8870,9
461908,8903,1
461908,10366,10
461908,14740,2
461908,15041,5
461908,15271,8
461931,10350,2
461931,14736,3
461931,15272,1
461952,8782,1
461952,8791,2
461980,8834,1
461980,8895,2
462024,8789,1
462024,8809,6
462024,8877,10
462024,8914,4
462024,8920,11
462024,11874,2
462024,14723,7
462024,14724,9
462024,14745,3
462024,15270,5
462024,15276,8
462045,8782,1
462065,8810,3
462065,8831,6
462065,8856,2
462065,10334,4
462065,10336,5
462065,10348,7
462065,10353,1
462065,10361,9
462065,10371,10
462065,15275,8
462090,8745,3
462090,8782,5
462090,8794,2
462090,8847,6
462090,8870,8
462090,8874,9
462090,8888,10
462090,8903,1
462090,10352,7
462090,15041,4
462109,8810,2
462109,8831,4
462109,8838,5
462109,10334,1
462109,10335,3
462109,10346,6
462109,10353,7
462109,10356,8
462109,12720,9
462129,8794,3
462129,8903,10
462129,10341,5
462129,10352,7
462129,10353,1
462129,10361,8
462129,10371,9
462129,14747,2
462129,15269,4
462129,15275,6
462150,8794,2
462150,8926,3
462150,10335,1
462150,10341,4
462150,10352,5
462171,8802,2
462171,10348,3
462171,10353,4
462171,10371,1
462194,8747,2
462194,8782,1
462194,8789,4
462194,8791,5
462194,8797,6
462194,8809,7
462194,8842,3
462194,8903,10
462194,10332,8
462194,10352,9
468391,8743,6
468391,8747,1
468391,8748,3
468391,8906,9
468391,14716,2
468391,14737,4
468391,14742,5
468391,14744,7
468391,14745,8
468566,8810,6
468566,8910,1
468566,10321,5
468566,10346,7
468566,10372,2
468566,11886,3
468566,11976,4
468737,8743,14
