bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
451227,348849,2014-03-28,House,"Acc Maj Otp As Amended Rep RC #593",75,63,0,13,151
451227,352576,2014-04-03,Senate,"Accept Maj Otp-a Rpt RC #529",20,15,0,0,35
451227,361903,2014-05-01,House,"Reconsideration - Veto RC #756",82,64,0,5,151
451368,307273,2013-07-09,House,"Reconsider RC #453",99,37,0,15,151
451368,307274,2013-07-09,House,"Enactment - Mandate RC #454",103,33,0,15,151
451392,307245,2013-03-07,Senate,"Enactment RC #16",35,0,0,0,35
451422,307280,2013-06-17,House,"Acc Min Otp As Amended Rep RC #341",88,49,0,14,151
451518,307272,2013-05-22,House,"Acc Maj Otp As Amended Rep RC #124",115,29,0,7,151
451543,307271,2013-03-27,House,"Final Passage - Emer RC #13",141,0,0,10,151
451741,307298,2013-04-04,House,"Adopt Cah-31 RC #25",115,22,0,14,151
451741,307299,2013-05-14,House,"Reconsideration - Veto RC #85",88,56,0,7,151
451741,307300,2013-04-10,Senate,"Accept Maj Otp-a Rpt RC #41",28,6,0,1,35
451741,307301,2013-04-30,Senate,"Enactment RC #60",28,6,0,1,35
452324,306066,2013-04-23,Senate,"Accept Maj Ontp Rpt RC #45",21,14,0,0,35
452324,306067,2013-04-24,House,"Acc Maj Ought Not To Pass Rep RC #43",82,62,0,7,151
452475,345631,2014-03-19,Senate,"Accept Rpt A Otp-a RC #464",11,23,0,1,35
452475,347011,2014-03-20,House,"Passage To Be Engrossed RC #546",77,57,0,17,151
452475,348912,2014-03-27,Senate,"Insist/ask Com Of Conf RC #504",10,25,0,0,35
455924,307145,2013-04-03,House,"Reconsideration - Veto RC #23",136,6,0,9,151
455924,307146,2013-04-03,Senate,"Veto Override (2/3) RC #31",23,12,0,0,35
455985,305997,2013-05-21,House,"Acc Maj Ought Not To Pass Rep RC #112",104,40,0,7,151
456197,306310,2013-03-07,House,"Acc Maj Ought Not To Pass Rep RC #6",91,51,0,9,151
456226,337457,2014-03-04,Senate,"Accept Maj Otp-a Rpt RC #442",31,3,0,1,35
456226,346785,2014-03-19,House,"Reconsideration - Veto RC #541",133,5,0,13,151
457890,306225,2013-04-04,Senate,"Accept Maj Ontp Rpt RC #34",18,17,0,0,35
457890,306226,2013-04-09,House,"Acc Maj Ought Not To Pass Rep RC #28",110,31,0,10,151
461863,306275,2013-04-02,House,"Acc Maj Ought Not To Pass Rep RC #16",65,81,0,5,151
461863,306276,2013-04-02,House,"Table Until Later RC #17",68,79,0,4,151
461863,306277,2013-04-10,Senate,"Adhere - Maj Ontp Rep RC #40",19,15,0,1,35
461908,306292,2013-04-09,Senate,"Passage To Be Engrossed RC #38",32,3,0,0,35
461908,308678,2013-04-10,House,"Enactment - Emer RC #37",123,24,0,4,151
462045,306296,2013-04-09,House,"Acc Maj Ought Not To Pass Rep RC #30",123,21,0,7,151
462045,306297,2013-04-10,Senate,"Accept Maj Ontp Rpt RC #42",26,8,0,1,35
462065,306290,2013-04-02,House,"Acc Maj Ought Not To Pass Rep RC #21",91,55,0,5,151
462065,306291,2013-04-03,Senate,"Accept Maj Ontp Rpt RC #26",21,14,0,0,35
462194,306341,2013-04-09,House,"Acc Maj Ought Not To Pass Rep RC #31",104,38,0,9,151
462194,306342,2013-04-10,Senate,"Accept Maj Ontp Rpt RC #43",24,10,0,1,35
468737,306356,2013-05-20,House,"Enactment - Emer RC #100",138,0,0,13,151
468748,307148,2013-05-16,House,"Acc Maj Ought Not To Pass Rep RC #96",91,53,0,7,151
468856,307138,2013-03-28,House,"Acc Maj Ought Not To Pass Rep RC #14",101,43,0,7,151
468856,307139,2013-04-03,Senate,"Accept Maj Ontp Rpt RC #29",20,15,0,0,35
468931,307159,2013-05-08,House,"Acc Maj Ought Not To Pass Rep RC #82",66,77,0,8,151
468931,307160,2013-05-16,Senate,"Insist RC #77",24,9,0,2,35
468969,305998,2013-06-10,House,"Adopt Hah-421 To Cah-387 RC #240",27,116,0,8,151
469121,307190,2013-05-22,House,"Acc Maj Otp As Amended Rep RC #122",56,88,0,7,151
469121,307191,2013-05-23,Senate,"Accept Min Ontp Rpt RC #106",24,11,0,0,35
469464,307143,2013-04-04,Senate,"Enactment RC #35",25,10,0,0,35
