bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
447066,678697,text,29119,application/pdf,Introduced,https://legiscan.com/ME/text/LD2/id/678697,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0004&item=1&snum=126
447066,800769,text,10880,application/pdf,Chaptered,https://legiscan.com/ME/text/LD2/id/800769,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0004&item=2&snum=126
446985,678650,text,29318,application/pdf,Introduced,https://legiscan.com/ME/text/LD3/id/678650,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=126
446985,845646,text,5957,application/pdf,Chaptered,https://legiscan.com/ME/text/LD3/id/845646,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0005&item=2&snum=126
446901,678593,text,28929,application/pdf,Introduced,https://legiscan.com/ME/text/LD4/id/678593,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=126
446901,802286,text,79309,application/pdf,Amended,https://legiscan.com/ME/text/LD4/id/802286,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0006&item=2&snum=126
446901,826794,text,14150,application/pdf,Chaptered,https://legiscan.com/ME/text/LD4/id/826794,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0006&item=3&snum=126
451765,685026,text,40014,application/pdf,Introduced,https://legiscan.com/ME/text/LD5/id/685026,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=126
451765,852778,text,104602,application/pdf,Amended,https://legiscan.com/ME/text/LD5/id/852778,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0009&item=2&snum=126
451765,870244,text,71084,application/pdf,Amended,https://legiscan.com/ME/text/LD5/id/870244,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0009&item=4&snum=126
451765,872421,text,21276,application/pdf,Chaptered,https://legiscan.com/ME/text/LD5/id/872421,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0009&item=5&snum=126
451741,685001,text,28734,application/pdf,Introduced,https://legiscan.com/ME/text/LD6/id/685001,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0010&item=1&snum=126
451741,819803,text,75561,application/pdf,Amended,https://legiscan.com/ME/text/LD6/id/819803,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0010&item=2&snum=126
451716,684977,text,29886,application/pdf,Introduced,https://legiscan.com/ME/text/LD7/id/684977,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0011&item=1&snum=126
451691,684953,text,28916,application/pdf,Introduced,https://legiscan.com/ME/text/LD8/id/684953,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=1&snum=126
451691,832967,text,80392,application/pdf,Amended,https://legiscan.com/ME/text/LD8/id/832967,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=2&snum=126
451691,852709,text,52351,application/pdf,Chaptered,https://legiscan.com/ME/text/LD8/id/852709,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=3&snum=126
451667,684929,text,28618,application/pdf,Introduced,https://legiscan.com/ME/text/LD9/id/684929,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0013&item=1&snum=126
451667,809470,text,12686,application/pdf,Chaptered,https://legiscan.com/ME/text/LD9/id/809470,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0013&item=3&snum=126
