bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2007413,3175041,text,170229,application/pdf,Introduced,https://legiscan.com/ME/text/LD1097/id/3175041,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0719&item=1&snum=132
2007555,3175154,text,177100,application/pdf,Introduced,https://legiscan.com/ME/text/LD1098/id/3175154,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0720&item=1&snum=132
2007210,3174878,text,162706,application/pdf,Introduced,https://legiscan.com/ME/text/LD1099/id/3174878,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0721&item=1&snum=132
2009077,3177668,text,162061,application/pdf,Introduced,https://legiscan.com/ME/text/LD1104/id/3177668,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0723&item=1&snum=132
2009093,3177681,text,169255,application/pdf,Introduced,https://legiscan.com/ME/text/LD1105/id/3177681,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0724&item=1&snum=132
2009227,3177794,text,174651,application/pdf,Introduced,https://legiscan.com/ME/text/LD1106/id/3177794,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0725&item=1&snum=132
2009039,3177636,text,156027,application/pdf,Introduced,https://legiscan.com/ME/text/LD1107/id/3177636,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0726&item=1&snum=132
2009031,3177629,text,170943,application/pdf,Introduced,https://legiscan.com/ME/text/LD1108/id/3177629,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0727&item=1&snum=132
2009189,3177764,text,171356,application/pdf,Introduced,https://legiscan.com/ME/text/LD1109/id/3177764,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0728&item=1&snum=132
2009182,3177757,text,175912,application/pdf,Introduced,https://legiscan.com/ME/text/LD1110/id/3177757,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0729&item=1&snum=132
2009103,3177690,text,168290,application/pdf,Introduced,https://legiscan.com/ME/text/LD1111/id/3177690,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0730&item=1&snum=132
2009209,3177780,text,172968,application/pdf,Introduced,https://legiscan.com/ME/text/LD1112/id/3177780,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0731&item=1&snum=132
2009262,3177823,text,164249,application/pdf,Introduced,https://legiscan.com/ME/text/LD1113/id/3177823,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0732&item=1&snum=132
2009316,3177870,text,165082,application/pdf,Introduced,https://legiscan.com/ME/text/LD1114/id/3177870,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0733&item=1&snum=132
2009242,3177808,text,169101,application/pdf,Introduced,https://legiscan.com/ME/text/LD1115/id/3177808,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0734&item=1&snum=132
2009157,3177737,text,154229,application/pdf,Introduced,https://legiscan.com/ME/text/LD1116/id/3177737,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0735&item=1&snum=132
2009086,3177675,text,173916,application/pdf,Introduced,https://legiscan.com/ME/text/LD1117/id/3177675,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0736&item=1&snum=132
2009176,3177753,text,165154,application/pdf,Introduced,https://legiscan.com/ME/text/LD1118/id/3177753,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0737&item=1&snum=132
2009148,3177730,text,152851,application/pdf,Introduced,https://legiscan.com/ME/text/LD1119/id/3177730,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0738&item=1&snum=132
2009299,3177856,text,183989,application/pdf,Introduced,https://legiscan.com/ME/text/LD1120/id/3177856,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0739&item=1&snum=132
2009363,3177910,text,176418,application/pdf,Introduced,https://legiscan.com/ME/text/LD1121/id/3177910,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0740&item=1&snum=132
2009329,3177881,text,183290,application/pdf,Introduced,https://legiscan.com/ME/text/LD1122/id/3177881,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0741&item=1&snum=132
2009308,3177864,text,167754,application/pdf,Introduced,https://legiscan.com/ME/text/LD1123/id/3177864,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0742&item=1&snum=132
2009011,3177613,text,166472,application/pdf,Introduced,https://legiscan.com/ME/text/LD1124/id/3177613,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0743&item=1&snum=132
2009061,3177654,text,163551,application/pdf,Introduced,https://legiscan.com/ME/text/LD1125/id/3177654,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0744&item=1&snum=132
2009067,3177660,text,196734,application/pdf,Introduced,https://legiscan.com/ME/text/LD1126/id/3177660,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0745&item=1&snum=132
2009142,3177724,text,158368,application/pdf,Introduced,https://legiscan.com/ME/text/LD1127/id/3177724,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0746&item=1&snum=132
2008976,3177584,text,184599,application/pdf,Introduced,https://legiscan.com/ME/text/LD1128/id/3177584,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0747&item=1&snum=132
2008958,3177570,text,162055,application/pdf,Introduced,https://legiscan.com/ME/text/LD1129/id/3177570,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0748&item=1&snum=132
2009121,3177706,text,162272,application/pdf,Introduced,https://legiscan.com/ME/text/LD1130/id/3177706,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0749&item=1&snum=132
2009131,3177714,text,164712,application/pdf,Introduced,https://legiscan.com/ME/text/LD1131/id/3177714,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0750&item=1&snum=132
2009019,3177620,text,174722,application/pdf,Introduced,https://legiscan.com/ME/text/LD1146/id/3177620,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0751&item=1&snum=132
2009253,3177817,text,178519,application/pdf,Introduced,https://legiscan.com/ME/text/LD1147/id/3177817,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0752&item=1&snum=132
2009353,3177900,text,172161,application/pdf,Introduced,https://legiscan.com/ME/text/LD1148/id/3177900,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0753&item=1&snum=132
2010990,3181376,text,216095,application/pdf,Introduced,https://legiscan.com/ME/text/LD1149/id/3181376,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=IB0001&item=1&snum=132
2010906,3181299,text,158281,application/pdf,Introduced,https://legiscan.com/ME/text/LD1150/id/3181299,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0755&item=1&snum=132
2011072,3181455,text,152927,application/pdf,Introduced,https://legiscan.com/ME/text/LD1151/id/3181455,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0756&item=1&snum=132
2011044,3181427,text,175215,application/pdf,Introduced,https://legiscan.com/ME/text/LD1152/id/3181427,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0757&item=1&snum=132
2011008,3181393,text,166799,application/pdf,Introduced,https://legiscan.com/ME/text/LD1153/id/3181393,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0758&item=1&snum=132
2011080,3181463,text,174537,application/pdf,Introduced,https://legiscan.com/ME/text/LD1154/id/3181463,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0759&item=1&snum=132
2011038,3181421,text,166390,application/pdf,Introduced,https://legiscan.com/ME/text/LD1155/id/3181421,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0760&item=1&snum=132
2011059,3181442,text,173154,application/pdf,Introduced,https://legiscan.com/ME/text/LD1156/id/3181442,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0761&item=1&snum=132
2010928,3181319,text,199328,application/pdf,Introduced,https://legiscan.com/ME/text/LD1157/id/3181319,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0762&item=1&snum=132
2011101,3181483,text,173765,application/pdf,Introduced,https://legiscan.com/ME/text/LD1158/id/3181483,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0763&item=1&snum=132
2011052,3181436,text,162185,application/pdf,Introduced,https://legiscan.com/ME/text/LD1159/id/3181436,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0764&item=1&snum=132
2010962,3181350,text,169485,application/pdf,Introduced,https://legiscan.com/ME/text/LD1160/id/3181350,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0765&item=1&snum=132
2010911,3181304,text,166763,application/pdf,Introduced,https://legiscan.com/ME/text/LD1161/id/3181304,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0766&item=1&snum=132
2010915,3181308,text,166264,application/pdf,Introduced,https://legiscan.com/ME/text/LD1162/id/3181308,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0767&item=1&snum=132
2010976,3181364,text,167018,application/pdf,Introduced,https://legiscan.com/ME/text/LD1163/id/3181364,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0768&item=1&snum=132
