bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1401843,2236412,text,164934,application/pdf,Introduced,https://legiscan.com/ME/text/LD2/id/2236412,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=130
1401843,2340396,text,136876,application/pdf,Chaptered,https://legiscan.com/ME/text/LD2/id/2340396,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=4&snum=130
1401056,2235617,text,155500,application/pdf,Introduced,https://legiscan.com/ME/text/LD40/id/2235617,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=130
1401056,2343430,text,65263,application/pdf,Chaptered,https://legiscan.com/ME/text/LD40/id/2343430,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=2&snum=130
1402269,2236835,text,159176,application/pdf,Introduced,https://legiscan.com/ME/text/LD41/id/2236835,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=1&snum=130
1402269,2418915,text,64958,application/pdf,Chaptered,https://legiscan.com/ME/text/LD41/id/2418915,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=6&snum=130
1402334,2236899,text,151232,application/pdf,Introduced,https://legiscan.com/ME/text/LD42/id/2236899,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=1&snum=130
1400860,2235421,text,166752,application/pdf,Introduced,https://legiscan.com/ME/text/LD43/id/2235421,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=130
1401581,2236145,text,172612,application/pdf,Introduced,https://legiscan.com/ME/text/LD44/id/2236145,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=1&snum=130
1401581,2360010,text,65415,application/pdf,Chaptered,https://legiscan.com/ME/text/LD44/id/2360010,https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=3&snum=130
