bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1398489,984402,2020-12-02,Senate,"Passage RC #1",32,0,0,3,35
1400531,1089969,2021-06-02,Senate,"Accept Maj Ontp Rpt RC #179",20,14,0,1,35
1400531,1091628,2021-06-03,House,"Acc Maj Ought Not To Pass Rep RC #114",81,61,0,9,151
1400695,1094717,2021-06-08,House,"Acc Maj Otp As Amended Rep RC #174",80,66,0,5,151
1401089,1093333,2021-06-07,House,"Acc Maj Otp As Amended Rep RC #140",107,34,0,10,151
1401286,1026990,2021-03-11,Senate,"Indefinitely Postpone Sbs RC #57",20,13,0,2,35
1401286,1026991,2021-03-11,Senate,"Pass To Be Engrossed As Amend RC #58",33,0,0,2,35
1401319,1080320,2021-05-19,Senate,"Accept Min Ontp Rpt RC #154",6,27,0,2,35
1401319,1090722,2021-06-02,House,"Acc Min Ought Not To Pass Rep RC #78",61,84,0,6,151
1401417,1098923,2021-06-17,House,"Acc Report 'a' Otp As Amend RC #366",88,51,0,12,151
1401516,1098056,2021-06-15,Senate,"Accept Report RC #379",32,2,0,1,35
1401711,1064589,2021-04-28,Senate,"Accept Maj Otp-a Rpt RC #128",25,10,0,0,35
1401711,1079646,2021-05-19,House,"Adopt Hah-196 To Cas-59 RC #48",63,84,0,4,151
1401711,1079647,2021-05-19,House,"Adopt Sas-63 To Cas-59 RC #49",82,65,0,4,151
1401843,1027342,2021-03-11,Senate,"Accept Maj Otp-a Rpt RC #59",25,7,0,3,35
1401876,1040547,2021-03-30,House,"Acc Maj Otp As Amended Rep RC #25",78,62,0,11,151
1401876,1064612,2021-04-28,Senate,"Accept Maj Otp-a Rpt RC #126",22,12,0,1,35
1401876,1065383,2021-04-28,House,"Enactment RC #45",81,49,0,21,151
1401876,1103880,2021-07-01,House,"Recede And Concur RC #414",75,48,0,28,151
1401941,1065015,2021-04-28,House,"Acc Maj Otp As Amended Rep RC #41",86,58,0,7,151
1401941,1079804,2021-05-19,Senate,"Accept Maj Otp-a Rpt RC #148",22,11,0,2,35
1402105,1064765,2021-04-28,Senate,"Accept Maj Ontp Rpt RC #129",24,11,0,0,35
1402105,1064766,2021-04-28,House,"Acc Maj Ought Not To Pass Rep RC #43",81,49,0,21,151
1402203,1064512,2021-04-28,Senate,"Accept Maj Otp-a Rpt RC #133",22,13,0,0,35
1402203,1079997,2021-05-19,House,"Enactment RC #47",87,60,0,4,151
1402269,1096292,2021-06-09,House,"Final Passage - Emer RC #221",76,51,0,24,151
1402269,1097625,2021-06-14,House,"Recede And Concur RC #247",89,50,0,12,151
1427194,1103200,2021-06-30,House,"Indef Pp Hah-740 To Cah-735 RC #386",85,58,0,8,151
1427194,1103201,2021-06-30,House,"Adopt Cah-735 RC #387",119,25,0,7,151
1427194,1103202,2021-06-30,House,"Enactment - Emer RC #406",123,23,0,5,151
1427194,1103203,2021-06-30,Senate,"Pass To Be Engrossed As Amend RC #460",31,3,0,1,35
1427194,1103204,2021-06-30,Senate,"Enact-emer 2/3 Elect RC #467",32,2,0,1,35
1427202,1096095,2021-06-09,House,"Acc Maj Otp As Amended Rep RC #209",76,55,0,20,151
1427202,1097661,2021-06-14,House,"Passage To Be Engrossed RC #253",87,54,0,10,151
1427202,1097852,2021-06-15,Senate,"Recede And Concur RC #347",23,11,0,1,35
1427202,1103056,2021-06-30,Senate,"Reconsideration - Veto RC #462",22,12,0,1,35
1427206,1093281,2021-06-07,House,"Acc Maj Otp As Amended Rep RC #141",81,60,0,10,151
1427212,1091459,2021-06-03,House,"Acc Maj Ought Not To Pass Rep RC #120",83,61,0,7,151
1427212,1091460,2021-06-03,House,"Acc Maj Ought Not To Pass Rep RC #121",77,67,0,7,151
1427212,1093178,2021-06-07,Senate,"Accept Maj Ontp Rpt RC #210",21,13,0,1,35
1427214,1183012,2022-04-05,House,"Acc Maj Otp As Amended Rep RC #520",76,51,0,20,147
1427219,1090288,2021-06-02,Senate,"Accept Maj Ontp Rpt RC #182",20,14,0,1,35
1427219,1091583,2021-06-03,House,"Acc Maj Ought Not To Pass Rep RC #113",82,62,0,7,151
1427221,1065039,2021-04-28,Senate,"Accept Maj Otp Rpt RC #134",22,13,0,0,35
1427224,1027011,2021-03-11,House,"Enactment - Emer RC #19",88,55,0,8,151
1427224,1027012,2021-03-11,Senate,"Accept Maj Otp Rpt RC #54",22,12,0,1,35
1427224,1093445,2021-06-07,Senate,"Suspend Rules (2/3) RC #230",23,11,0,1,35
1427224,1095330,2021-06-09,Senate,"Enactment RC #270",21,12,0,2,35
1427230,1181185,2022-03-31,House,"Acc Report 'a' Otp As Amend RC #509",75,58,0,14,147
1427230,1183344,2022-04-05,Senate,"Indefinitely Postpone RC #695",12,20,0,2,34
1427230,1183345,2022-04-05,Senate,"Accept Rpt 'a' Otp-a RC #696",21,11,0,2,34
1427230,1186741,2022-04-11,Senate,"Enactment RC #728",19,11,0,4,34
1427236,1080596,2021-05-19,House,"Acc Maj Otp As Amended Rep RC #58",84,55,0,12,151
1427236,1090268,2021-06-02,Senate,"Accept Maj Otp-a Rpt RC #169",21,13,0,1,35
1427241,1098759,2021-06-16,House,"Acc Maj Otp As Amended Rep RC #347",82,60,0,9,151
1427241,1098962,2021-06-17,Senate,"Accept Maj Otp-a Rpt RC #419",22,12,0,1,35
1427241,1103940,2021-07-01,House,"Recede And Concur RC #415",74,50,0,27,151
1427242,1026909,2021-03-11,House,"Acc Maj Ought Not To Pass Rep RC #15",81,64,0,6,151
1427249,1025847,2021-03-10,House,"Acc Maj Otp As Amended Rep RC #3",83,66,0,2,151
1427249,1026848,2021-03-11,Senate,"Accept Maj Otp-a Rpt RC #55",26,8,0,1,35
1427261,1064916,2021-04-28,House,"Acc Maj Ought Not To Pass Rep RC #34",85,58,0,8,151
1427261,1064917,2021-04-28,Senate,"Accept Maj Ontp Rpt RC #140",22,12,0,1,35
1427263,1040974,2021-03-30,Senate,"Accept Maj Otp-a Rpt RC #71",23,11,0,1,35
1427264,1095310,2021-06-09,Senate,"Accept Maj Ontp Rpt RC #266",24,10,0,1,35
1427264,1095762,2021-06-09,House,"Acc Maj Ought Not To Pass Rep RC #219",79,52,0,20,151
1427269,1080152,2021-05-19,House,"Acc Maj Otp As Amended Rep RC #51",104,41,0,6,151
1427269,1096852,2021-06-10,House,"Final Passage - Con Res RC #230",106,31,0,14,151
1427270,1064407,2021-04-28,House,"Acc Maj Ought Not To Pass Rep RC #27",88,57,0,6,151
1427273,1090453,2021-06-02,House,"Acc Maj Otp As Amended Rep RC #87",82,61,0,8,151
1427273,1091450,2021-06-03,Senate,"Accept Maj Otp-a Rpt RC #191",21,12,0,2,35
1427275,1065397,2021-04-28,Senate,"Accept Maj Otp Rpt RC #141",22,12,0,1,35
1427279,1091483,2021-06-03,House,"Acc Maj Otp As Amended Rep RC #124",88,56,0,7,151
1427305,1093118,2021-06-07,Senate,"Accept Maj Otp-a Rpt RC #225",14,19,0,2,35
1427305,1095653,2021-06-09,House,"Acc Min Otp As Amended Rep RC #210",77,53,0,21,151
1427305,1103020,2021-06-30,Senate,"Reconsideration - Veto RC #463",18,16,0,1,35
1427307,1201041,2022-05-09,House,"Reconsideration - Veto RC #613",47,73,0,27,147
1427308,1026977,2021-03-11,House,"Acc Maj Ought Not To Pass Rep RC #16",81,64,0,6,151
1427317,1026894,2021-03-11,House,"Acc Maj Otp As Amended Rep RC #14",84,62,0,5,151
1427324,1178727,2022-03-29,House,"Acc Report 'a' Otp As Amend RC #496",76,58,0,13,147
1427324,1180939,2022-03-31,House,"Enactment RC #512",73,54,0,20,147
1427325,1080018,2021-05-19,Senate,"Accept Maj Otp-a Rpt RC #162",22,12,0,1,35
1427327,1092191,2021-06-03,House,"Acc Maj Ought Not To Pass Rep RC #132",77,62,0,12,151
1427327,1093160,2021-06-07,Senate,"Accept Min Otp-a Rpt RC #219",25,8,0,2,35
1427328,1064449,2021-04-28,Senate,"Accept Maj Otp Rpt RC #135",22,13,0,0,35
1427331,1092329,2021-06-03,House,"Acc Report 'a' Otp As Amended RC #135",80,59,0,12,151
1427331,1093471,2021-06-07,Senate,"Accept Rpt 'a' Otp-a RC #222",21,12,0,2,35
1427335,1026350,2021-03-10,House,"Acc Min Ought To Pass Rep RC #2",57,91,0,3,151
1427338,1090556,2021-06-02,House,"Acc Maj Ought Not To Pass Rep RC #70",79,65,0,7,151
1427338,1090929,2021-06-03,Senate,"Accept Maj Ontp Rpt RC #192",20,13,0,2,35
1427339,1027187,2021-03-11,House,"Acc Maj Ought Not To Pass Rep RC #17",71,75,0,5,151
1427339,1065671,2021-04-28,House,"Recede And Concur RC #39",76,60,0,15,151
1427347,1093420,2021-06-07,Senate,"Accept Maj Otp-a Rpt RC #229",21,12,0,2,35
1427347,1094388,2021-06-08,House,"Acc Maj Otp As Amended Rep RC #171",77,65,0,9,151
1427348,1094384,2021-06-08,Senate,"Accept Maj Otp-a Rpt RC #253",27,7,0,1,35
1427348,1095311,2021-06-09,House,"Acc Maj Otp As Amended Rep RC #194",92,52,0,7,151
