bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
212591,154789,text,7369,application/pdf,Introduced,https://legiscan.com/ME/text/LD12/id/154789,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0004&item=1&snum=125
212591,339914,text,7238,application/pdf,Chaptered,https://legiscan.com/ME/text/LD12/id/339914,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0004&item=3&snum=125
212592,154838,text,7354,application/pdf,Introduced,https://legiscan.com/ME/text/LD13/id/154838,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=125
212592,328056,text,7002,application/pdf,Amended,https://legiscan.com/ME/text/LD13/id/328056,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0005&item=2&snum=125
212592,328057,text,7569,application/pdf,Chaptered,https://legiscan.com/ME/text/LD13/id/328057,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0005&item=3&snum=125
212593,154882,text,7400,application/pdf,Introduced,https://legiscan.com/ME/text/LD14/id/154882,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=125
212593,227109,text,7293,application/pdf,Chaptered,https://legiscan.com/ME/text/LD14/id/227109,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0006&item=3&snum=125
212594,154922,text,7349,application/pdf,Introduced,https://legiscan.com/ME/text/LD15/id/154922,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0007&item=1&snum=125
212594,224016,text,7247,application/pdf,Chaptered,https://legiscan.com/ME/text/LD15/id/224016,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0007&item=3&snum=125
212595,154974,text,7160,application/pdf,Introduced,https://legiscan.com/ME/text/LD16/id/154974,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0008&item=1&snum=125
212596,155001,text,9932,application/pdf,Introduced,https://legiscan.com/ME/text/LD17/id/155001,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=125
212597,155070,text,15613,application/pdf,Introduced,https://legiscan.com/ME/text/LD18/id/155070,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0010&item=1&snum=125
212598,319586,text,17393,application/pdf,Introduced,https://legiscan.com/ME/text/LD19/id/319586,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0011&item=1&snum=125
212598,319587,text,17242,application/pdf,Chaptered,https://legiscan.com/ME/text/LD19/id/319587,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0011&item=3&snum=125
212599,319610,text,7323,application/pdf,Introduced,https://legiscan.com/ME/text/LD20/id/319610,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=1&snum=125
212599,319611,text,6452,application/pdf,Amended,https://legiscan.com/ME/text/LD20/id/319611,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=2&snum=125
212599,319612,text,7742,application/pdf,Amended,https://legiscan.com/ME/text/LD20/id/319612,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=7&snum=125
212599,319613,text,7334,application/pdf,Chaptered,https://legiscan.com/ME/text/LD20/id/319613,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0012&item=8&snum=125
