bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
897625,1444256,text,366326,application/pdf,Introduced,https://legiscan.com/ME/text/LD1/id/1444256,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0003&item=1&snum=128
897595,1444231,text,355121,application/pdf,Introduced,https://legiscan.com/ME/text/LD2/id/1444231,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0004&item=1&snum=128
897770,1444381,text,363086,application/pdf,Introduced,https://legiscan.com/ME/text/LD3/id/1444381,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=128
897770,1580360,text,219976,application/pdf,Chaptered,https://legiscan.com/ME/text/LD3/id/1580360,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=3&snum=128
897441,1444114,text,359637,application/pdf,Introduced,https://legiscan.com/ME/text/LD4/id/1444114,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=128
897574,1444214,text,367788,application/pdf,Introduced,https://legiscan.com/ME/text/LD5/id/1444214,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=1&snum=128
897745,1444360,text,362545,application/pdf,Introduced,https://legiscan.com/ME/text/LD7/id/1444360,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=1&snum=128
897745,1593986,text,219756,application/pdf,Chaptered,https://legiscan.com/ME/text/LD7/id/1593986,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=3&snum=128
897860,1444527,text,352391,application/pdf,Introduced,https://legiscan.com/ME/text/LD8/id/1444527,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=128
897860,1631792,text,270364,application/pdf,Amended,https://legiscan.com/ME/text/LD8/id/1631792,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=2&snum=128
897860,1810398,text,83227,application/pdf,Amended,https://legiscan.com/ME/text/LD8/id/1810398,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=4&snum=128
897860,1813238,text,83013,application/pdf,Chaptered,https://legiscan.com/ME/text/LD8/id/1813238,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=5&snum=128
897697,1444316,text,357713,application/pdf,Introduced,https://legiscan.com/ME/text/LD9/id/1444316,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=1&snum=128
897697,1630377,text,232398,application/pdf,Amended,https://legiscan.com/ME/text/LD9/id/1630377,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=2&snum=128
897697,1632195,text,214782,application/pdf,Chaptered,https://legiscan.com/ME/text/LD9/id/1632195,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0010&item=3&snum=128
897721,1444339,text,359199,application/pdf,Introduced,https://legiscan.com/ME/text/LD10/id/1444339,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0011&item=1&snum=128
898061,1444678,text,365737,application/pdf,Introduced,https://legiscan.com/ME/text/LD11/id/1444678,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0012&item=1&snum=128
