bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
980023,667942,2017-06-20,Senate,"Reconsideration - Veto RC #347",34,1,0,0,35
980023,669197,2017-06-21,House,"Reconsideration - Veto RC #363",90,55,0,6,151
980045,664198,2017-06-15,Senate,"Accept Min Ontp Rpt RC #302",8,27,0,0,35
980045,666317,2017-06-16,House,"Acc Maj Otp As Amended Rep RC #323",83,67,0,1,151
980045,673438,2017-08-02,Senate,"Reconsideration - Veto RC #416",24,10,0,1,35
980045,673439,2017-08-02,House,"Reconsideration - Veto RC #455",81,56,0,14,151
980063,769872,2018-07-09,Senate,"Reconsideration - Veto RC #711",34,0,0,1,35
980063,769873,2018-07-09,House,"Reconsideration - Veto RC #730",91,52,0,8,151
980085,643627,2017-05-09,Senate,"Accept Maj Otp-a Rpt RC #109",34,0,0,1,35
980085,646213,2017-05-18,House,"Acc Maj Otp As Amended Rep RC #124",126,14,0,11,151
980085,658931,2017-06-07,Senate,"Reconsideration - Veto RC #234",35,0,0,0,35
980085,659336,2017-06-07,House,"Reconsideration - Veto RC #269",122,21,0,8,151
980127,655727,2017-05-31,Senate,"Accept Maj Otp-a Rpt RC #200",34,0,0,1,35
981240,661848,2017-06-13,House,"Acc Maj Ought Not To Pass Rep RC #304",79,67,0,5,151
981240,664447,2017-06-16,Senate,"Insist RC #325",18,17,0,0,35
981256,629216,2017-04-20,Senate,"Accept Min Ontp Rpt RC #82",8,26,0,1,35
981256,644674,2017-05-16,House,"Acc Maj Otp As Amended Rep RC #106",85,57,0,9,151
981256,659246,2017-06-07,Senate,"Reconsideration - Veto RC #235",26,9,0,0,35
981256,660572,2017-06-08,House,"Reconsideration - Veto RC #280",89,58,0,4,151
981435,769836,2018-07-09,House,"Reconsideration - Veto RC #700",131,12,0,8,151
981435,769837,2018-07-09,Senate,"Reconsideration - Veto RC #720",30,2,0,3,35
981514,649494,2017-05-24,House,"Acc Maj Otp As Amended Rep RC #156",79,65,0,7,151
981514,652953,2017-05-25,Senate,"Accept Min Ontp Rpt RC #181",18,17,0,0,35
981531,764933,2018-06-19,House,"Acc Maj Otp As Amended Rep RC #668",78,56,0,17,151
981531,764934,2018-06-19,House,"Adopt Hah-798 To Cah-751 RC #669",78,58,0,15,151
981531,766064,2018-06-20,Senate,"Accept Min Ontp Rpt RC #680",11,21,0,3,35
981531,766065,2018-06-20,Senate,"Adopt Scs-502 To Cah-751 RC #681",23,9,0,3,35
981531,769876,2018-07-09,House,"Reconsideration - Veto RC #698",85,58,0,8,151
981602,647258,2017-05-17,House,"Acc Report 'a' Ontp RC #116",72,71,0,8,151
981602,661219,2017-06-06,House,"Recede RC #251",77,69,0,5,151
981602,661220,2017-06-06,House,"Indef Pp Hah-415 To Cbh-182 RC #252",71,76,0,4,151
981602,661221,2017-06-06,House,"Pass To Be Engrossed As Amend RC #253",76,70,0,5,151
981642,767808,2018-06-25,House,"Acc Maj Otp As Amended Rep RC #689",109,17,0,25,151
981642,767809,2018-06-25,House,"Enactment - Bond Issue RC #690",75,47,0,29,151
981642,769852,2018-07-09,House,"Recede And Concur (2/3) RC #738",135,8,0,8,151
981659,769847,2018-07-09,House,"Reconsideration - Veto RC #699",105,38,0,8,151
981659,769848,2018-07-09,Senate,"Reconsideration - Veto RC #719",32,0,0,3,35
981709,649009,2017-05-24,House,"Acc Maj Otp As Amended Rep RC #148",78,65,0,8,151
981792,664560,2017-06-16,Senate,"Enactment RC #321",24,11,0,0,35
981792,670650,2017-06-28,House,"Reconsideration - Veto RC #415",83,47,0,21,151
982275,673440,2017-08-02,Senate,"Reconsideration - Veto RC #417",30,4,0,1,35
982275,673441,2017-08-02,House,"Reconsideration - Veto RC #456",75,62,0,14,151
982282,645659,2017-05-17,Senate,"Accept Min Ontp Rpt RC #141",15,19,0,1,35
982282,652025,2017-05-23,House,"Acc Maj Ought To Pass Rep RC #140",85,59,0,7,151
982282,662967,2017-06-13,Senate,"Reconsideration - Veto RC #284",22,13,0,0,35
982282,662968,2017-06-13,Senate,"Veto Override (2/3) RC #293",22,13,0,0,35
982395,643618,2017-05-09,Senate,"Accept Maj Ontp Rpt RC #114",24,10,0,1,35
982433,664543,2017-06-13,Senate,"Accept Min Otp-a Rpt RC #291",32,3,0,0,35
982433,667033,2017-06-19,House,"Acc Maj Ought Not To Pass Rep RC #342",78,69,0,4,151
982531,649293,2017-05-24,House,"Acc Maj Otp As Amended Rep RC #153",93,51,0,7,151
982531,664572,2017-06-13,House,"Reconsideration - Veto RC #298",75,72,0,4,151
982646,647239,2017-05-17,House,"Reconsideration - Veto RC #108",125,18,0,8,151
982646,647240,2017-05-18,Senate,"Reconsideration - Veto RC #147",35,0,0,0,35
982750,653083,2017-05-30,House,"Acc Maj Ought Not To Pass Rep RC #172",76,64,0,11,151
982763,630734,2017-04-25,House,"Acc Maj Otp As Amended Rep RC #50",133,11,0,7,151
982763,635261,2017-04-27,Senate,"Accept Min Ontp Rpt RC #98",10,24,0,1,35
982763,649060,2017-05-23,House,"Reconsideration - Veto RC #127",138,8,0,5,151
982763,649061,2017-05-24,Senate,"Reconsideration - Veto RC #159",24,11,0,0,35
982883,665868,2017-06-20,House,"Acc Maj Ought Not To Pass Rep RC #353",80,68,0,3,151
982883,668388,2017-06-20,Senate,"Accept Min Otp-a Rpt RC #351",18,16,0,1,35
983358,737584,2018-04-12,House,"Acc Report 'a' Otp As Amended RC #592",76,68,0,7,151
983358,739488,2018-04-17,Senate,"Table Until Later RC #644",15,20,0,0,35
983358,739489,2018-04-17,Senate,"Accept Rpt 'c' Otp-a RC #645",16,19,0,0,35
