bill_id,people_id,position
668005,8757,2
668005,8823,5
668005,8900,1
668005,8915,4
668005,10331,3
668005,15404,6
668041,15391,1
668130,8856,2
668130,15391,1
668223,8834,3
668223,8836,2
668223,8900,7
668223,10363,4
668223,10366,5
668223,10370,1
668223,10372,8
668223,14729,6
668265,8895,1
668826,8744,6
668826,8797,3
668826,8832,4
668826,8880,9
668826,8900,10
668826,11886,2
668826,13221,5
668826,14731,1
668826,15045,7
668826,15473,8
668921,8744,7
668921,8784,4
668921,8870,1
668921,8894,9
668921,10331,2
668921,10332,6
668921,15041,3
668921,15047,10
668921,17269,5
668921,17273,8
669018,8784,3
669018,8815,2
669018,8832,7
669018,8880,10
669018,8900,11
669018,10321,4
669018,10334,5
669018,13221,8
669018,14731,1
669018,15403,6
669018,15473,9
671427,10335,1
671427,10370,3
671427,10371,5
671427,16614,2
671427,16615,4
671441,10335,1
671441,10356,3
671441,16614,2
671461,8895,1
671478,8834,1
671500,8895,1
671516,8748,2
671516,8895,1
671516,10318,4
671516,13221,6
671516,14726,8
671516,16614,3
671516,17273,7
671516,17330,5
671536,8855,6
671536,10326,4
671536,10332,5
671536,10349,7
671536,11874,2
671536,14732,1
671536,14742,3
671536,15047,9
671536,16697,8
671536,17506,10
671556,8895,1
671556,13221,3
671556,14726,5
671556,17273,4
671556,17330,2
671576,8758,2
671576,8900,1
671576,10335,3
671604,8834,1
671604,15044,2
671634,8895,1
671634,10318,2
671669,8864,9
671669,10381,10
671669,11890,4
671669,14720,8
671669,16632,6
671669,16634,7
671669,16637,1
671669,16638,2
671669,16639,5
671669,16689,3
671704,8794,3
671704,10334,1
671704,10352,7
671704,10353,8
671704,10363,9
671704,10371,10
671704,13221,6
671704,15270,4
671704,16614,2
671704,16780,5
671742,8814,2
671742,8900,7
671742,10335,1
671742,10338,4
671742,10370,5
671742,10371,8
671742,16615,6
671742,16633,3
671782,8895,1
671815,8832,4
671815,13221,6
671815,14731,1
671815,14732,9
671815,14740,2
671815,15391,7
671815,15473,8
671815,15703,10
671815,15889,3
671815,16636,5
671854,8895,1
671854,16614,2
671890,8757,3
671890,8794,2
671890,8832,6
671890,8834,7
671890,10351,9
671890,15044,4
671890,15391,8
671890,16631,1
671890,16635,5
672778,8758,4
672778,8895,8
672778,8915,5
672778,10318,6
672778,10363,7
672778,10371,9
672778,12720,2
672778,16614,1
672778,16689,3
672871,8748,3
672871,8758,4
672871,8840,6
672871,14742,5
672871,16639,1
672871,16688,2
672871,17274,7
672964,8762,9
672964,8822,4
672964,8840,5
672964,10331,3
672964,14720,8
672964,14732,2
