bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
668005,1060689,text,109028,application/pdf,Introduced,https://legiscan.com/ME/text/LD1/id/1060689,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0004&item=1&snum=127
668005,1169446,text,124639,application/pdf,Amended,https://legiscan.com/ME/text/LD1/id/1169446,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0004&item=4&snum=127
668005,1192153,text,85095,application/pdf,Chaptered,https://legiscan.com/ME/text/LD1/id/1192153,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0004&item=5&snum=127
668130,1060720,text,115835,application/pdf,Introduced,https://legiscan.com/ME/text/LD2/id/1060720,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0005&item=1&snum=127
668041,1060695,text,114123,application/pdf,Introduced,https://legiscan.com/ME/text/LD3/id/1060695,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=1&snum=127
668041,1212563,text,131865,application/pdf,Amended,https://legiscan.com/ME/text/LD3/id/1212563,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=2&snum=127
668041,1221038,text,201282,application/pdf,Chaptered,https://legiscan.com/ME/text/LD3/id/1221038,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0006&item=3&snum=127
668223,1060748,text,124941,application/pdf,Introduced,https://legiscan.com/ME/text/LD4/id/1060748,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=1&snum=127
668223,1209043,text,163776,application/pdf,Amended,https://legiscan.com/ME/text/LD4/id/1209043,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=2&snum=127
668223,1249853,text,211544,application/pdf,Chaptered,https://legiscan.com/ME/text/LD4/id/1249853,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0007&item=3&snum=127
668265,1060759,text,106161,application/pdf,Introduced,https://legiscan.com/ME/text/LD5/id/1060759,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=1&snum=127
668265,1249881,text,140500,application/pdf,Amended,https://legiscan.com/ME/text/LD5/id/1249881,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0008&item=2&snum=127
668086,1060705,text,115612,application/pdf,Introduced,https://legiscan.com/ME/text/LD6/id/1060705,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=1&snum=127
668086,1238445,text,132422,application/pdf,Amended,https://legiscan.com/ME/text/LD6/id/1238445,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=2&snum=127
668086,1238446,text,134855,application/pdf,Amended,https://legiscan.com/ME/text/LD6/id/1238446,http://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0009&item=5&snum=127
