people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
8743,"Troy Jackson",Troy,Dale,Jackson,,,1,D,2,Sen,SD-035,6454231,36809,,Troy_Dale_Jackson,212794,0
8745,"Bernard Ayotte",Bernard,"L. A.",Ayotte,,,2,R,1,Rep,HD-003,13001810,36642,,Bernard_Ayotte,250723,0
8746,"Charles Theriault",Charles,Kenneth,Theriault,,,1,D,1,Rep,HD-002,6475090,57531,,Charles_Theriault,251376,0
8747,"Margaret Craven",Margaret,M.,Craven,,,1,D,2,Sen,HD-059,6450902,37163,,Margaret_Craven,212766,0
8748,"Justin Alfond",Justin,L.,Alfond,,,1,D,2,Sen,SD-027,6486098,103424,,Justin_Alfond,272122,0
8758,"Stanley Gerzofsky",Stanley,,Gerzofsky,,,1,D,2,Sen,SD-024,6372540,36712,,Stan_Gerzofsky,205606,0
8759,"Seth Goodall",Seth,A.,Goodall,,,1,D,2,Sen,SD-019,6486224,103429,,Seth_Goodall,272139,0
8762,"Barry Hobbins",Barry,J.,Hobbins,,,1,D,1,Rep,HD-014,6454211,36710,,Barry_Hobbins,228283,0
8773,"Roger Sherman",Roger,L.,Sherman,,,2,R,2,Sen,HD-144,6571748,19565,,Roger_Sherman,195552,0
8782,"Paulette Beaudoin",Paulette,G.,Beaudoin,,,1,D,1,Rep,HD-135,6474797,65209,,Paulette_Beaudoin,251429,0
8783,"Michael Beaulieu",Michael,Gary,Beaulieu,,,2,R,1,Rep,HD-068,6669360,57568,,Michael_Beaulieu,250754,0
8784,"Henry Beck",Henry,"E. M.",Beck,,,1,D,1,Rep,HD-110,6486108,103533,,Henry_Beck,272125,0
8785,"Seth Berry",Seth,Allan,Berry,,,1,D,1,Rep,HD-067,6474821,57592,,Seth_Berry,250752,0
8789,"Andrea Boland",Andrea,M.,Boland,,,1,D,1,Rep,HD-142,9930370,19412,,Andrea_Boland,250791,0
8790,"Brian Bolduc",Brian,D.,Bolduc,,,1,D,1,Rep,HD-069,13001939,10936,,Brian_Bolduc,272094,0
8791,"Sheryl Briggs",Sheryl,J.,Briggs,,,1,D,1,Rep,HD-093,6486124,101951,,Sheryl_Briggs,260060,0
8794,"David C. Burns",David,C.,Burns,,,2,R,2,Sen,SD-006,6674055,103458,,David_C._Burns,272083,0
